frame_index,time_s,raw_diff,smooth_diff,progress
137,3.799931,9953471.000,9953471.000,0.946493
138,3.827668,9999519.000,9999334.000,0.950854
139,3.855405,9999334.000,9999519.000,0.950872
140,3.883141,10073842.000,10073842.000,0.957939
141,3.910878,10267419.000,10267419.000,0.976347
142,3.938615,10267458.000,10267458.000,0.976350
143,3.966352,10515776.000,10515776.000,0.999963
144,3.994088,10515798.000,10515798.000,0.999965
145,4.021825,10536941.000,10516161.000,1.000000
146,4.049562,10537611.000,10516162.000,1.000000
147,4.077299,10516161.000,10516162.000,1.000000
148,4.105035,10516162.000,10516161.000,1.000000
149,4.132772,10511194.000,10511194.000,0.999528
150,4.160509,10511192.000,10511192.000,0.999527
151,4.188245,10476566.000,10476595.000,0.996238
152,4.215982,10476595.000,10476566.000,0.996235
153,4.243719,10470991.000,10470999.000,0.995705
154,4.271456,10470999.000,10470991.000,0.995705
155,4.299192,10439088.000,10439088.000,0.992671
156,4.326929,10432581.000,10432581.000,0.992052
157,4.354666,10432561.000,10432561.000,0.992050
158,4.382402,10429183.000,10429183.000,0.991729
159,4.410139,10429183.000,10429183.000,0.991729
160,4.437876,10428048.000,10428048.000,0.991621
161,4.465613,10427681.000,10427681.000,0.991586
162,4.493349,10427681.000,10427681.000,0.991586
163,4.521086,10427681.000,10427681.000,0.991586
164,4.548823,10427681.000,10427681.000,0.991586
165,4.576560,10427681.000,10427681.000,0.991586
166,4.604296,10427681.000,10427681.000,0.991586
167,4.632033,10427681.000,10427681.000,0.991586
168,4.659770,10427681.000,10427681.000,0.991586
169,4.687506,10427681.000,10427681.000,0.991586
170,4.715243,10427681.000,10427681.000,0.991586
171,4.742980,10427681.000,10427681.000,0.991586
172,4.770717,10427681.000,10427681.000,0.991586
173,4.798453,10427681.000,10427681.000,0.991586
174,4.826190,10427564.000,10427564.000,0.991575
175,4.853927,10426828.000,10426828.000,0.991505
176,4.881664,10426828.000,10426828.000,0.991505
177,4.909400,10426828.000,10426828.000,0.991505
178,4.937137,10426828.000,10426828.000,0.991505
179,4.964874,10426828.000,10426828.000,0.991505
180,4.992610,10426828.000,10426828.000,0.991505
181,5.020347,10426828.000,10426828.000,0.991505
182,5.048084,10426828.000,10426828.000,0.991505
183,5.075821,10426828.000,10426828.000,0.991505
184,5.103557,10426828.000,10426828.000,0.991505
185,5.131294,10426837.000,10426837.000,0.991506
186,5.159031,10426851.000,10426837.000,0.991506
187,5.186768,10426837.000,10426837.000,0.991506
188,5.214504,10426851.000,10426851.000,0.991507
189,5.242241,10426837.000,10426837.000,0.991506
190,5.269978,10426851.000,10426851.000,0.991507
191,5.297714,10426837.000,10426837.000,0.991506
192,5.325451,10426851.000,10426851.000,0.991507
193,5.353188,10426837.000,10426837.000,0.991506
194,5.380925,10426851.000,10426851.000,0.991507
195,5.408661,10426837.000,10426837.000,0.991506
196,5.436398,10426851.000,10426851.000,0.991507
197,5.464135,10426837.000,10426837.000,0.991506
198,5.491871,10426851.000,10426851.000,0.991507
199,5.519608,10426837.000,10426837.000,0.991506
200,5.547345,10426851.000,10426851.000,0.991507
201,5.575082,10426837.000,10426837.000,0.991506
202,5.602818,10426851.000,10426851.000,0.991507
203,5.630555,10426837.000,10426837.000,0.991506
204,5.658292,10426851.000,10426851.000,0.991507
205,5.686029,10426837.000,10426837.000,0.991506
206,5.713765,10426851.000,10426851.000,0.991507
207,5.741502,10426837.000,10426837.000,0.991506
208,5.769239,10426851.000,10426851.000,0.991507
209,5.796975,10426837.000,10426837.000,0.991506
210,5.824712,10426851.000,10426851.000,0.991507
211,5.852449,10426837.000,10426837.000,0.991506
212,5.880186,10426851.000,10426851.000,0.991507
213,5.907922,10426837.000,10426837.000,0.991506
214,5.935659,10426851.000,10426851.000,0.991507
215,5.963396,10426837.000,10426837.000,0.991506
216,5.991133,10426851.000,10426851.000,0.991507
217,6.018869,10426837.000,10426851.000,0.991507
218,6.046606,10426851.000,10426851.000,0.991507
219,6.074343,10428339.000,10428339.000,0.991649
